iter	Passed	Remaining
1120	4205	183387
1121	4209	183374
1122	4213	183369
1123	4216	183370
1124	4220	183374
1125	4224	183375
1126	4228	183367
1127	4232	183358
1128	4235	183330
1129	4239	183329
1130	4242	183328
1131	4246	183304
1132	4249	183293
1133	4253	183270
1134	4256	183244
1135	4259	183224
1136	4263	183213
1137	4266	183200
1138	4270	183212
1139	4276	183293
1140	4280	183285
1141	4284	183285
1142	4287	183272
1143	4291	183270
1144	4295	183260
1145	4298	183253
1146	4302	183238
1147	4306	183244
1148	4310	183250
1149	4313	183250
1150	4317	183239
1151	4321	183241
1152	4324	183219
1153	4328	183222
1154	4332	183200
1155	4335	183189
1156	4339	183184
1157	4342	183166
1158	4346	183158
1159	4349	183137
1160	4352	183114
1161	4356	183095
1162	4360	183093
1163	4363	183090
1164	4367	183074
1165	4370	183063
1166	4374	183052
1167	4377	183036
1168	4381	183014
1169	4384	183005
1170	4388	182995
1171	4392	182981
1172	4395	182977
1173	4399	182966
1174	4402	182954
1175	4406	182929
1176	4409	182922
1177	4413	182905
1178	4416	182886
1179	4420	182880
1180	4424	182878
1181	4427	182858
1182	4430	182841
1183	4434	182830
1184	4438	182831
1185	4441	182810
1186	4445	182799
1187	4448	182787
1188	4452	182801
1189	4456	182778
1190	4459	182759
1191	4462	182735
1192	4466	182723
1193	4469	182709
1194	4473	182695
1195	4476	182676
1196	4479	182652
1197	4483	182632
1198	4486	182626
1199	4490	182610
1200	4493	182592
1201	4497	182574
1202	4500	182568
1203	4504	182560
1204	4508	182546
1205	4511	182540
1206	4515	182528
1207	4518	182519
1208	4522	182507
1209	4525	182498
1210	4529	182503
1211	4533	182484
1212	4536	182472
1213	4540	182466
1214	4543	182435
1215	4547	182436
1216	4550	182419
1217	4553	182389
1218	4557	182376
1219	4560	182352
1220	4563	182330
1221	4567	182311
1222	4570	182293
1223	4574	182291
1224	4577	182277
1225	4581	182268
1226	4585	182260
1227	4588	182236
1228	4592	182234
1229	4595	182219
1230	4599	182207
1231	4602	182184
1232	4605	182169
1233	4609	182153
1234	4612	182139
1235	4616	182135
1236	4619	182120
1237	4623	182112
1238	4626	182096
1239	4630	182073
1240	4633	182059
1241	4637	182043
1242	4640	182022
1243	4643	182010
1244	4647	182017
1245	4651	182008
1246	4655	182000
1247	4658	181994
1248	4662	181978
1249	4665	181961
1250	4669	181944
1251	4672	181928
1252	4676	181928
1253	4680	181927
1254	4683	181914
1255	4687	181905
1256	4690	181880
1257	4694	181872
1258	4697	181868
1259	4701	181847
1260	4704	181825
1261	4707	181811
1262	4711	181799
1263	4714	181789
1264	4718	181786
1265	4721	181766
1266	4725	181764
1267	4729	181773
1268	4733	181765
1269	4736	181752
1270	4740	181742
1271	4744	181741
1272	4748	181774
1273	4752	181762
1274	4756	181756
1275	4760	181761
1276	4763	181761
1277	4767	181761
1278	4771	181757
1279	4774	181745
1280	4778	181754
1281	4782	181739
1282	4786	181742
1283	4790	181736
1284	4793	181740
1285	4797	181733
1286	4801	181729
1287	4805	181726
1288	4808	181716
1289	4813	181741
1290	4816	181737
1291	4820	181727
1292	4824	181721
1293	4827	181722
1294	4831	181719
1295	4835	181706
1296	4838	181692
1297	4842	181683
1298	4845	181670
1299	4849	181651
1300	4852	181652
1301	4856	181652
1302	4860	181648
1303	4863	181638
1304	4867	181627
1305	4871	181617
1306	4874	181600
1307	4878	181590
1308	4881	181583
1309	4885	181579
1310	4888	181565
1311	4892	181551
1312	4895	181538
1313	4899	181548
1314	4903	181546
1315	4907	181530
1316	4910	181521
1317	4913	181499
1318	4917	181482
1319	4920	181475
1320	4924	181473
1321	4928	181456
1322	4931	181448
1323	4935	181435
1324	4938	181414
1325	4941	181399
1326	4945	181390
1327	4949	181389
1328	4952	181379
1329	4956	181385
1330	4960	181367
1331	4964	181376
1332	4967	181352
1333	4971	181349
1334	4974	181336
1335	4977	181315
1336	4981	181308
1337	4984	181291
1338	4988	181275
1339	4991	181263
1340	4995	181246
1341	4998	181226
1342	5001	181212
1343	5005	181210
1344	5008	181198
1345	5012	181199
1346	5016	181193
1347	5020	181181
1348	5023	181155
1349	5026	181135
1350	5029	181118
1351	5033	181118
1352	5036	181103
1353	5040	181089
1354	5043	181066
1355	5047	181052
1356	5050	181033
1357	5053	181008
1358	5057	181000
